id,categories
174430,Economic
174430,Negotiation
174430,Political
174430,Abstract Strategy
174430,Ancient
174430,Ancient
174430,Abstract Strategy
174430,Medieval
161936,Economic
161936,Negotiation
161936,Political
161936,Civilization
161936,Nautical
161936,Economic
161936,Negotiation
161936,Political
161936,Exploration
161936,Abstract Strategy
161936,Medieval
161936,Civilization
161936,Nautical
224517,Card Game
224517,Fantasy
224517,Card Game
224517,Fantasy
224517,Ancient
224517,Economic
224517,Territory Building
224517,Economic
224517,Negotiation
224517,Political
224517,Abstract Strategy
167791,Economic
167791,Negotiation
167791,Political
167791,Civilization
167791,Nautical
167791,Abstract Strategy
167791,Abstract Strategy
167791,Exploration
167791,Economic
167791,Negotiation
167791,Political
291457,Card Game
291457,Fantasy
291457,Exploration
291457,Economic
291457,Negotiation
291457,Political
291457,Ancient
291457,Economic
291457,Territory Building
291457,Abstract Strategy
233078,Card Game
233078,Fantasy
233078,Abstract Strategy
233078,Medieval
233078,Abstract Strategy
233078,Medieval
233078,Abstract Strategy
233078,Civilization
233078,Fantasy
220308,Card Game
220308,Fantasy
220308,Card Game
220308,Fantasy
220308,Abstract Strategy
220308,Medieval
220308,Civilization
220308,Fantasy
187645,Economic
187645,Negotiation
187645,Political
187645,Civilization
187645,Fantasy
187645,Abstract Strategy
187645,Civilization
187645,Nautical
187645,Ancient
187645,Economic
187645,Territory Building
182028,Economic
182028,Negotiation
182028,Political
182028,Civilization
182028,Fantasy
182028,Card Game
182028,Fantasy
182028,Card Game
182028,Fantasy
182028,Civilization
182028,Fantasy
193738,Economic
193738,Negotiation
193738,Political
193738,Exploration
193738,Abstract Strategy
193738,Medieval
193738,Abstract Strategy
193738,Abstract Strategy
193738,Medieval
193738,Civilization
193738,Fantasy
162886,Economic
162886,Negotiation
162886,Political
162886,Civilization
162886,Nautical
162886,Card Game
162886,Fantasy
162886,Civilization
162886,Fantasy
162886,Civilization
162886,Fantasy
162886,Civilization
162886,Nautical
12333,Economic
12333,Negotiation
12333,Political
12333,Card Game
12333,Fantasy
12333,Abstract Strategy
12333,Medieval
12333,Abstract Strategy
12333,Medieval
12333,Abstract Strategy
12333,Medieval
115746,Economic
115746,Negotiation
115746,Political
115746,Economic
115746,Negotiation
115746,Political
115746,Economic
115746,Territory Building
115746,Abstract Strategy
115746,Ancient
115746,Civilization
115746,Nautical
169786,Economic
169786,Negotiation
169786,Political
169786,Civilization
169786,Nautical
169786,Exploration
169786,Abstract Strategy
169786,Civilization
169786,Fantasy
169786,Civilization
169786,Nautical
84876,Civilization
84876,Fantasy
84876,Ancient
84876,Civilization
84876,Fantasy
84876,Abstract Strategy
84876,Civilization
84876,Nautical
173346,Economic
173346,Negotiation
173346,Political
173346,Abstract Strategy
173346,Abstract Strategy
173346,Medieval
173346,Abstract Strategy
173346,Medieval
173346,Ancient
173346,Civilization
173346,Nautical
120677,Economic
120677,Negotiation
120677,Political
120677,Card Game
120677,Fantasy
120677,Civilization
120677,Nautical
120677,Abstract Strategy
120677,Abstract Strategy
124361,Economic
124361,Negotiation
124361,Political
124361,Card Game
124361,Fantasy
124361,Ancient
124361,Abstract Strategy
124361,Medieval
124361,Civilization
124361,Nautical
124361,Economic
124361,Negotiation
124361,Political
28720,Card Game
28720,Fantasy
28720,Civilization
28720,Fantasy
28720,Abstract Strategy
28720,Card Game
28720,Fantasy
266192,Card Game
266192,Fantasy
266192,Civilization
266192,Nautical
266192,Civilization
266192,Nautical
266192,Economic
266192,Negotiation
266192,Political
266192,Exploration
266192,Card Game
266192,Fantasy
167355,Economic
167355,Negotiation
167355,Political
167355,Civilization
167355,Nautical
167355,Abstract Strategy
167355,Abstract Strategy
167355,Medieval
167355,Economic
167355,Territory Building
167355,Economic
167355,Territory Building
177736,Economic
177736,Negotiation
177736,Political
177736,Abstract Strategy
177736,Abstract Strategy
177736,Abstract Strategy
177736,Abstract Strategy
177736,Medieval
177736,Civilization
177736,Nautical
205637,Card Game
205637,Fantasy
205637,Economic
205637,Territory Building
205637,Civilization
205637,Nautical
205637,Abstract Strategy
205637,Medieval
205637,Abstract Strategy
183394,Economic
183394,Negotiation
183394,Political
183394,Civilization
183394,Fantasy
183394,Abstract Strategy
183394,Medieval
183394,Abstract Strategy
183394,Medieval
183394,Exploration
183394,Ancient
164928,Economic
164928,Negotiation
164928,Political
164928,Civilization
164928,Nautical
164928,Ancient
164928,Exploration
164928,Card Game
164928,Fantasy
164928,Civilization
164928,Fantasy
96848,Exploration
96848,Civilization
96848,Nautical
96848,Civilization
96848,Fantasy
96848,Ancient
96848,Civilization
96848,Fantasy
237182,Card Game
237182,Fantasy
237182,Abstract Strategy
237182,Medieval
237182,Abstract Strategy
237182,Economic
237182,Negotiation
237182,Political
237182,Civilization
237182,Fantasy
237182,Card Game
237182,Fantasy
199792,Economic
199792,Negotiation
199792,Political
199792,Exploration
199792,Exploration
199792,Abstract Strategy
199792,Exploration
199792,Card Game
199792,Fantasy
3076,Abstract Strategy
3076,Medieval
3076,Abstract Strategy
3076,Civilization
3076,Nautical
102794,Economic
102794,Negotiation
102794,Political
102794,Card Game
102794,Fantasy
102794,Abstract Strategy
102794,Exploration
102794,Ancient
175914,Economic
175914,Negotiation
175914,Political
175914,Abstract Strategy
175914,Economic
175914,Territory Building
175914,Exploration
175914,Economic
175914,Negotiation
175914,Political
175914,Ancient
31260,Abstract Strategy
31260,Medieval
31260,Economic
31260,Negotiation
31260,Political
31260,Card Game
31260,Fantasy
31260,Civilization
31260,Nautical
170216,Economic
170216,Negotiation
170216,Political
170216,Abstract Strategy
170216,Card Game
170216,Fantasy
170216,Economic
170216,Negotiation
170216,Political
170216,Civilization
170216,Nautical
205059,Card Game
205059,Fantasy
205059,Economic
205059,Territory Building
205059,Economic
205059,Territory Building
205059,Exploration
221107,Card Game
221107,Fantasy
221107,Card Game
221107,Fantasy
221107,Economic
221107,Negotiation
221107,Political
221107,Economic
221107,Negotiation
221107,Political
221107,Abstract Strategy
276025,Card Game
276025,Fantasy
276025,Abstract Strategy
276025,Civilization
276025,Nautical
276025,Card Game
276025,Fantasy
276025,Economic
276025,Territory Building
316554,Abstract Strategy
316554,Medieval
316554,Economic
316554,Negotiation
316554,Political
316554,Civilization
316554,Nautical
316554,Economic
316554,Territory Building
316554,Economic
316554,Territory Building
316554,Ancient
285774,Card Game
285774,Fantasy
285774,Civilization
285774,Fantasy
285774,Economic
285774,Territory Building
285774,Abstract Strategy
285774,Abstract Strategy
285774,Ancient
180263,Economic
180263,Negotiation
180263,Political
180263,Civilization
180263,Fantasy
180263,Card Game
180263,Fantasy
180263,Civilization
180263,Nautical
180263,Abstract Strategy
180263,Medieval
284083,Card Game
284083,Fantasy
284083,Civilization
284083,Fantasy
284083,Ancient
284083,Civilization
284083,Fantasy
284083,Abstract Strategy
284083,Medieval
192135,Economic
192135,Negotiation
192135,Political
192135,Exploration
192135,Card Game
192135,Fantasy
192135,Economic
192135,Negotiation
192135,Political
192135,Abstract Strategy
192135,Medieval
192135,Economic
192135,Territory Building
266507,Card Game
