rank,id,name,description,bggrating,avgrating,numvoter,date
1,174430,Gloomhaven,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,8.534,8.77,44979,2021-08-10
2,161936,Pandemic Legacy: Season 1,Mutating diseases are spreading around the world - can your team save humanity?,8.453,8.61,43369,2021-08-10
3,224517,Brass: Birmingham,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",8.403,8.67,22391,2021-08-10
4,167791,Terraforming Mars,Compete with rival CEOs to make Mars habitable and build your corporate empire.,8.279,8.43,69407,2021-08-10
5,291457,Gloomhaven: Jaws of the Lion,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,8.256,8.77,12192,2021-08-10
6,233078,Twilight Imperium: Fourth Edition,"Build an intergalactic empire through trade, research, conquest and grand politics.",8.254,8.68,14704,2021-08-10
7,220308,Gaia Project,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species.",8.176,8.49,17654,2021-08-10
8,187645,Star Wars: Rebellion,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,8.171,8.43,24311,2021-08-10
9,182028,Through the Ages: A New Story of Civilization,Rewrite history as you build up your civilization in this epic card drafting game!,8.164,8.40,24351,2021-08-10
10,193738,Great Western Trail,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,8.128,8.30,31234,2021-08-10
11,162886,Spirit Island,Island Spirits join forces using elemental powers to defend their home from invaders.,8.126,8.36,28819,2021-08-10
12,12333,Twilight Struggle,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,8.124,8.29,41974,2021-08-10
13,115746,War of the Ring: Second Edition,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-Earth.,8.123,8.50,14594,2021-08-10
14,169786,Scythe,"Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.",8.075,8.23,61161,2021-08-10
15,84876,The Castles of Burgundy,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",8.008,8.13,48517,2021-08-10
16,173346,7 Wonders Duel,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,7.983,8.11,64742,2021-08-10
17,120677,Terra Mystica,Play fantastical factions.  Expand your influence by terraforming and joining cults.,7.981,8.14,40647,2021-08-10
